
qstr_Next_Page|下 一 页 
qstr_{!}DEBUG:_{s5}_has_t|{!}调 试 ：{s5}与 {s6}之 间 有 停 战 协 议 。与 {s7}缔 约 更 加 困 难 ！
qstr_{!}DEBUG____Player_s|{!}调 试 ：玩 家 王 国 到 目 前 为 止 共 有 {reg3}天 的 和 平 期 
qstr_{s2}_{reg3?was:is_cu|{s2}{reg3?曾 :正 }在 {s3} 。 
qstr_{s2}_{reg3?was:is}_t|{s2}{reg3?已 经 :正 在 }赶 去 {s3}，而 {reg4?她 :他 }{reg3? 之 前 :也 许 }在 {s4}{reg3?:附 近 } 。 
qstr_{s2}_{reg3?was:is}_tr|{s2}{reg3?已 经 :正 在 }前 往 {s3}，{reg4?她 :他 }{reg3?之 前 :现 在 应 该 }在 {s4}和 {s1}之 间 。 
qstr_{s2}_{reg3?was:is}_i|{s2}{reg3?:正 }在 野 外 某 地 ，而 {reg4?她 :他 }{reg3?之 前 :也 许 }在 {s3}{reg3?:附 近 } 。 
qstr_{s2}_{reg3?was:is}_in|{s2}{reg3?曾 :正 }在 野 外 某 地 ，{reg4?她 :他 }{reg3?之 前 :现 在 应 该 }在 {s3}和 {s1}之 间 。 
qstr_{s2}_{reg3?was:is}_b|{s2}{reg3?曾 :正 }被 囚 禁 在 {s3} 。 
qstr_{s2}_{reg3?was:has_b|{s2}{reg3?曾 :已 经 }被 {reg4?她 的 :他 的 }敌 人 俘 虏 。 
qstr_{reg3?{s2}_s_locatio|{reg3?{s2}下 落 不 明 :我 不 知 道 {s2}在 哪 里 } 。 
qstr_{s6}_has_joined_your|{s6}加 入 了 你 的 部 队 。 
qstr_{s4}_is_present_at_t|{s4}正 在 城 堡 坐 牢 
qstr_{!}DEBUG____{s4}_is_p|{!}调 试 ：{s4}正 在 城 中 参 加 宴 会 
qstr_{!}DEBUG____{s4}_is_pr|{!}调 试 ：{s4}正 在 城 中 私 自 等 候 玩 家 
qstr_{!}DEBUG____{s4}_is_pre|{!}调 试 ：{s4}正 在 城 中 ，被 允 许 与 玩 家 见 面 
qstr_{!}DEBUG____{s4}is_p|{!}调 试 ：{s4}正 在 城 中 ，不 被 允 许 与 玩 家 见 面 
qstr_You_now_owe_{reg2}_d|你 欠 {s1}{reg2}第 纳 尔 。 
qstr_{s0}_will_{reg0?:not|{s0} 将 {reg0?:不 再 } 服 从 你 的 命 令 
qstr_{!}DEBUG___Main_part|{!}调 试 ：玩 家 部 队 原 始 战 力 {reg1}，地 形 代 码 {reg2}，实 际 战 力 {reg0}
qstr_{!}_DEBUG___Enemy_pa|{!}调 试 ：敌 方 部 队 原 始 战 力 {reg1}，地 形 代 码 {reg2}，实 际 战 力 {reg0}
qstr_Renown_value_for_thi|这 场 战 斗 的 声 望 评 估 为 {reg8}点 。 
qstr_You_have_run_into_a_|你 陷 入 了 圈 套 之 中 ！ 
qstr_You_are_attacked_by_|你 遭 到 一 群 {s1}的 攻 击 ！ 
qstr_Holding|坚 守 中 
qstr_Following|随 行 中 
qstr_Charging|冲 锋 中 
qstr_Advancing|前 进 中 
qstr_Falling_Back|后 退 中 
qstr_Standing_Closer|聚 拢 中 
qstr_Spreading_Out|散 开 中 
qstr_Standing|站 立 中 
qstr_N/A|无 效 
qstr_Free|自 由 行 动 中 
qstr_Any_Weapon|任 意 武 器 
qstr_Blunt_Weapons|钝 击 武 器 
qstr_{!}{reg10}|{!}{reg10}
qstr_{!}{reg11}|{!}{reg11}
qstr_{!}{reg12}|{!}{reg12}
qstr_{!}DEBUG____Trade_fr|{!}调 试 ：从 {s3}到 {s4}的 贸 易 ： 产 生 {reg4}随 机 影 响 
qstr_{!}DEBUG____Trade_of|{!}调 试 ：从 {s3} 到 {s4}的 {s5}贸 易 将 价 格 从 {reg4}变 为 {reg5}
qstr_{!}DEBUG___{s4}_factio|{!}调 试 ：{s4}派 系 因 婚 姻 改 变 ，案 例 1 
qstr_{!}_DEBUG___{s4}_cha|{!}调 试 ：{s4}因 玩 家 的 背 叛 而 改 变 
qstr_{!}DEBUG___{s4}_faction|{!}调 试 ：{s4}派 系 因 婚 姻 改 变 ，案 例 3 
qstr_Your_soldiers_patroll|由 于 你 脱 离 原 阵 营 ，负 责 巡 逻 {s51} 的 部 队 已 被 {reg6?遣 返 :解 散 } ！
qstr_{s1}_Rebels|{s1}叛 军 
qstr_{!}DEBUG___{s4}_faction_|{!}调 试 ：{s4}派 系 因 婚 姻 关 系 改 变 ，案 例 2 
qstr_Given_by:_{s62}|委 托 人 ： {s62}
qstr_Given_on:_{s60}|开 始 于 ： {s60}
qstr_You_have_{reg0}_days|你 还 有 {reg0}天 来 完 成 这 个 任 务 。 
qstr_This_quest_has_been_|任 务 完 成 。 找 {s59}谈 话 来 结 束 这 个 任 务 。 
qstr_This_quest_has_been_s|任 务 成 功 完 成 。 找 {s59}谈 话 来 索 取 你 的 报 酬 。 
qstr_This_quest_has_faile|任 务 失 败 。 找 {s59}谈 话 来 解 释 情 况 。 
qstr_At_the_time_quest_wa|接 受 任 务 时 ： ^{s1}
qstr_{!}{s4}_is_in_{s5}|{!}{s4}在 {s5}
qstr_{!}DEBUG___{s1}_is_i|{!}调 试 ：{s1}被 强 盗 占 据 。
qstr_{s5}_has_a_strength_|{s5}的 军 队 共 有 {reg1}人 。 
qstr_The_last_time_you_sa|上 一 次 你 见 到 {reg1?她 :他 }，{s1}
qstr_The_last_time_you_he|上 一 次 你 听 说 到 {reg1?她 :他 }，{s1}
qstr_Current_garrison_con|当 前 城 防 部 队 有 {reg5}人 。 ^城 中 粮 草 可 维 持 {reg6}天 。 
qstr_Very_Poor|非 常 贫 穷 
qstr_Poor|贫 穷 
qstr_Average|一 般 
qstr_Rich|富 有 
qstr_Very_Rich|非 常 富 有 
qstr_{!}DEBUG_:_Doing_spa|{!}调 试 ：执 行 强 盗 生 成 脚 本 
qstr_Manor|庄 园 
qstr_A_manor_lets_you_res|有 了 一 个 庄 园 ，你 就 可 以 在 村 子 中 休 息 ，而 且 在 此 期 间 你 只 用 付 相 当 于 平 时 一 半 的 工 资 给 你 的 部 队 。 
qstr_Mill|磨 坊 
qstr_A_mill_increases_vil|有 了 一 个 磨 坊 ，就 可 以 使 村 子 的 繁 荣 度 提 升 5% 。 
qstr_Watch_Tower|了 望 塔 
qstr_A_watch_tower_lets_t|有 了 一 个 了 望 塔 ，就 可 以 使 村 民 更 早 的 发 出 警 报 ，并 延 长 敌 人 掠 夺 这 村 子 的 时 间 50% 。 
qstr_School|学 校 
qstr_A_shool_increases_th|有 了 一 个 学 校 ，就 可 以 使 村 民 对 你 的 忠 诚 度 每 月 提 升 1 点 。 
qstr_Messenger_Post|驿 站 
qstr_A_messenger_post_let|有 了 一 个 驿 站 ，就 可 以 使 村 民 在 村 子 旁 发 现 敌 军 时 向 你 汇 报 ，不 论 你 离 村 子 有 多 远 。 
qstr_Prison_Tower|监 狱 
qstr_A_prison_tower_reduc|有 了 一 个 监 狱 ，就 可 以 使 被 俘 获 的 领 主 成 功 逃 跑 的 几 率 降 低 。 
qstr_Prosperity_of_{s2}_h|{s2}的 繁 荣 度 从 {s3}变 到 {s4} 。 
qstr_{!}DEBUG:_Total_pros|{!}调 试 ：总 繁 荣 度 实 际 损 失 ：{reg11}
qstr_{!}DEBUG:_Total_prosp|{!}调 试 ：总 繁 荣 度 实 际 增 长 ：{reg12}
qstr_{!}DEBUG:_Prosperity|{!}调 试 ：随 机 强 盗 导 致 的 繁 荣 度 变 化 ： {reg4}
qstr_{!}DEBUG:_Prosperity_|{!}调 试 ：商 队 贸 易 导 致 的 繁 荣 度 变 化 ：{reg5}
qstr_{!}DEBUG:_Prosperity_c|{!}调 试 ：农 民 贸 易 导 致 的 繁 荣 度 变 化 ：{reg9}
qstr_{!}DEBUG:_Prosperity_ch|{!}调 试 ：村 庄 遭 到 洗 劫 导 致 的 繁 荣 度 变 化 ：{reg7}
qstr_{!}DEBUG:_Prosperity_cha|{!}调 试 ：围 城 导 致 的 繁 荣 度 变 化 ：{reg8}
qstr_{!}DEBUG:_Theoretica|{!}调 试 ：理 论 上 的 综 合 繁 荣 度 变 化 ：{reg10}
qstr_{s4}_looks_upset.|{s4}看 起 来 很 失 落 。 
qstr_your_party|你 的 部 队 
qstr_{reg0?One_of_your_pr|{reg0?你 的 一 个 俘 虏 —— :}{s3}的 {s1}从 监 狱 逃 跑 了 ！ 
qstr_You_brought_{reg3}_h|你 带 了 {reg3}头 牛 去 {s1} 。 
qstr_{!}Village_now_has_{|{!}村 庄 现 在 有 {reg4}
qstr_I_heard_that_there_w|我 听 说 在 {s62}将 会 举 办 一 场 竞 技 大 会 。 
qstr_I_heard_some_people_|我 听 一 些 人 说 他 们 不 相 信 {s6}真 的 死 了 。 
qstr_I_heard_a_traveller_|我 听 一 个 旅 行 者 说 他 在 这 片 大 陆 之 外 旅 行 时 遇 到 了 {s6} 。 
qstr_I_heard_that_{s6}_in|我 听 说 {s6}试 图 组 织 一 支 军 队 从 {s61}手 里 夺 回 王 座 。 
qstr_I_heard_that_one_can|我 听 说 {s62}在 {s63}卖 得 很 便 宜 。 
qstr_I_heard_that_they_pa|我 听 说 {s62}在 {s63}卖 的 很 贵 。 
qstr_{!}_DEBUG___random_{|{!}调 试 ：随 机 {reg0} （0 到 20 ）， 使 用 声 望 {reg2}而 不 是 {reg1}
qstr_{!}_DEBUG___variable|{!}调 试 ：禁 用 差 异 化 回 应 ，保 持 声 望 {reg2}
qstr_{!}_DEBUG___random_{r|{!}调 试 ：随 机 {reg0} （0 到 20 ），保 持 声 望 {reg2}
qstr_{!}Log_entry_{reg3}:|{!}日 志 {reg3}：类 型 {reg4}
qstr_{!}Center:_{s4}|{!}城 堡 ：{s4}
qstr_{!}Troop:_{s4}|{!}部 队 ： {s4}
qstr_{!}Lord:_{s4}|{!}领 主 ： {s4}
qstr_{!}Ally_party_is_pre|{!}友 军 部 队 出 现 
qstr_{!}{s4}_is_present_a|{!}{s4}在 事 件 中 出 现 
qstr_{!}Event_#{reg5}_typ|{!}事 件 #{reg5}，类 型 {reg6}，时 间 {reg8}：玩 家 与 目 标 部 队 的 国 家 关 系 = {reg7}
qstr_{!}Event_#{reg5}_type|{!}事 件 #{reg5}，类 型 {reg6}，时 间 {reg8}：玩 家 与 目 标 首 都 派 系 的 国 家 关 系 = {reg7}
qstr_{!}Event_#{reg5}_type_|{!}事 件 #{reg5}，类 型 {reg6}，时 间 {reg8}：玩 家 与 目 标 派 系 的 国 家 关 系 = {reg7}
qstr_{!}Event_#{reg5}_type_{|{!}事 件 #{reg5}，类 型 {reg6}，时 间 {reg8}。无 相 关 国 家 关 系 
qstr_{!}Event_#{reg5}_type_{r|{!}事 件 #{reg5}，类 型 {reg6}，时 间 {reg8}。 玩 家 无 组 织 
qstr_{!}Elapsed_hours:_{r|{!}过 去 的 小 时 数 ： {reg7}
qstr_{!}Reputation_type:_|{!}性 格 ： {s15}
qstr_{!}Entries_up_to_#{r|{!}参 加 者 至 #{reg5} 被 略 过 
qstr_two_days_ago|两 天 之 前 
qstr_{!}DEBUG___{s4}_faction_c|{!}调 试 ：{s4}派 系 变 更 （因 受 到 唆 使 ）
qstr_{!}{s4}_inflicts_{re|{!}{s4}对 {s5}造 成 {reg4}点 伤 害 ，总 伤 害 提 高 为 {reg3}
qstr_{!}War_damage_raises|{!}战 争 破 坏 使 {s4}的 争 议 由 {reg4} 变 化 为 {reg5}
qstr_{!}War_damage_lowers|{!}战 争 破 坏 使 {s4}的 争 议 由 {reg4} 变 化 为 {reg5}
qstr_{!}G_talk_troop_{s20|{!}部 队 对 话 {s20}考 虑 成 为 {s21}的 {s22}的 封 臣 
qstr_{!}DEBUG____Analyzin|{!}调 试 ：分 析 领 主 忠 诚 度 （结 合 增 益 及 惩 罚 因 素 ）= {reg0}
qstr_{!}DEBUG____Total_co|{!}调 试 ：总 求 爱 争 执 变 化 ： {reg4}
qstr_{!}DEBUG____Total_ra|{!}调 试 ：总 随 机 争 执 变 化 ： {reg4}
qstr_{!}DEBUG____Total_ba|{!}调 试 ：友 军 总 战 斗 变 化 ： {reg4}
qstr_{!}DEBUG____Total_bat|{!}调 试 ：敌 军 总 战 斗 变 化 ： {reg4}
qstr_{!}DEBUG____Total_pr|{!}DEBUG -- Total promotion changes: {reg4}
qstr_{!}DEBUG____Total_fe|{!}DEBUG -- Total feast changes: {reg4}
qstr_{!}DEBUG____Total_po|{!}DEBUG -- Total policy dispute changes: {reg4} from {reg5} decisions 
qstr_{!}DEBUG____Total_fa|{!}DEBUG -- Total faction switch changes: {reg4}
qstr_{!}DEBUG____Total_no|{!}DEBUG -- Total no fief changes: {reg4}
qstr_{!}DEBUG____Total_ch|{!}DEBUG -- Total changes through convergence: {reg4}
qstr_{!}DEBUG____Total_va|{!}DEBUG -- Total vassal responses to campaign: {reg4}
qstr_{!}DEBUG____Total_vas|{!}DEBUG -- Total vassal campaign days: {reg4}
qstr_{!}DEBUG____Vassal_r|{!}DEBUG -- Vassal response rate: {reg4}
qstr_{!}DEBUG___{s4}_s_fe|{!}DEBUG - {s4}'s feast has rating of {reg4}
qstr_{!}_DEBUG___{s4}_fac|{!} DEBUG - {s4} faction change in marriage case 5 
qstr_{!}DEBUG___{s4}_faction_ch|{!}DEBUG - {s4} faction changed by marriage, case 6 
qstr_{!}DEBUG___{s4}_stro|{!}DEBUG - {s4} strongest kingdom with {reg3} strength 
qstr_{!}DEBUG___including|{!}DEBUG - including offensive and defensive alliances {s4} strongest kingdom with {reg3} strength 
qstr_{!}DEBUG___including_|{!}DEBUG - including only defensive alliances {s4} strongest kingdom with {reg3} strength 
qstr_{!}Actor_centers_hel|{!}Actor centers held by target noted 
qstr_{!}War_damage_under_|{!}最 低 战 争 破 坏 
qstr_{!}Strength_ratio_co|{!}战 力 比 修 正 
qstr_{!}Third_party_wars|{!}第 三 方 战 争 
qstr_{!}DEBUG____No_third|{!}调 试 ：{s15}没 有 第 三 方 战 争 
qstr_{!}DEBUG____{s15}_is|{!}调 试 ：{s15}是 最 强 王 国 
qstr_{!}DEBUG____{s15}_ha|{!}调 试 ：{s15} 对 s16}有 30 点 优 势 
qstr_{!}DEBUG____{s15}_has|{!}调 试 ：{s15} 与 {s16}持 平 
qstr_{!}DEBUG____hardship|{!}调 试 ：{s4}的 难 度 = {reg0}
qstr_{!}Castle_taken_by_{|{!}堡 垒 被 {s3}占 领 。
qstr_{!}Two_thirds_averag|{!}2/3 的 平 均 声 望 = {reg3}
qstr_{!}DEBUG____Colleagu|{!}DEBUG -- Colleague test: score for {s10} = {reg3}
qstr_{!}DEBUG____Open_tes|{!}DEBUG -- Open test: score for {s10} = {reg3}
qstr_{!}DEBUG____{s8}_bac|{!}DEBUG -- {s8} backs {s9}:{s10}
qstr_{!}DEBUG____{s4}_pro|{!}DEBUG -- {s4} produces a faction strategy for {s33}
qstr_{!}Best_offensive_ta|{!}最 佳 攻 击 对 象 {s4} 评 估 等 级 为 {reg1}
qstr_{!}No_center_found_t|{!}没 有 城 堡 可 以 攻 击 
qstr_{!}Best_threat_of_{s|{!}{s4}的 最 大 威 胁 评 估 等 级 为 {reg1}
qstr_{!}No_center_found_to|{!}没 有 城 堡 可 以 防 守 
qstr_Best_threat_of_{s4}_|{s4}的 最 大 威 胁 等 级 为 {reg1}
qstr_No_center_found_to_d|未 发 现 防 守 地 点 
qstr_You_gain_right_to_ru|你 获 得 统 治 权 。 
qstr_You_lose_right_to_ru|你 失 去 统 治 权 。 
qstr_{!}DEBUG___{s4}_faction_cha|{!}调 试 ：{s4}派 系 变 更 （因 受 到 控 诉 ）
qstr_{s0}^{s1}|{s0}^{s1}
qstr_equipped_{s10}{s20}|装 备 {s10}{s20}
qstr_discarded_{s10}{s20}|抛 弃 {s10}{s20}
qstr_{s10}{s20}|{s10}{s20}
qstr_{reg0}_denars_added_|将 {reg0}第 纳 尔 存 入 金 库 。 
qstr_{reg0}_denars_remove|将 {reg0}第 纳 尔 取 出 金 库 。 
qstr_{!}DEBUG_:_removing_|{!}调 试 ：移 除 玩 家 部 队 ：{reg0}%
qstr_{!}DEBUG_:_sum:_{reg|{!}调 试 ：总 计 ：{reg0}
qstr_{s1}_and_{s2}_have_e|{s1}和 {s2}达 成 同 盟 协 议 。 
qstr_{s1}_and_{s2}_have_c|{s1}和 {s2}达 成 共 同 防 御 协 议 。 
qstr_{s1}_and_{s2}_have_co|{s1}和 {s2}达 成 通 商 协 议 。 
qstr_{s1}_and_{s2}_have_con|{s1}和 {s2}达 成 互 不 侵 犯 协 议 。 
qstr_{!}DEBUG_:_faction_n|{!}调 试 ：派 系 no.1 值 ： {reg0}
qstr_{!}DEBUG_:_faction_no|{!}调 试 ：派 系 no.2 值 ： {reg0}
qstr_{!}DEBUG_:_peace_war|{!}调 试 ：和 平 战 争 结 果 ： {reg0}
qstr_{!}DEBUG_:_prisoner_|{!}DEBUG : prisoner value: {reg0}
qstr_{!}DEBUG_:_peace_war_|{!}DEBUG : peace war result after prisoners: {reg0}
qstr_{!}DEBUG_:_truce_pay|{!}DEBUG : truce pay amount0: {reg0}
qstr_{!}DEBUG_:_truce_pay_|{!}DEBUG : truce pay amount1: {reg1}
qstr_{!}DEBUG___Send_mess|{!}DEBUG - Send message to {s13}
qstr_{!}DEBUG___Bring_{s1|{!}DEBUG - Bring {s12} to {s13}
qstr_{!}_ERROR:_Bad_gift_|{!} ERROR: Bad gift amount {reg0}. (Tell the mod writer he needs to update his code.) Using a safe default.
qstr_{!}DEBUG___Added_{re|{!}DEBUG - Added {reg0}.template of faction {s7} to patrol.
qstr_{!}DEBUG___Send_{s14|{!}DEBUG - Send {s14} patrol from {s15} to {s13}
qstr_{!}{s6}_of_the_{s5}_|{!}{s6} of the {s5} retains the remaining {reg0} denars (dplmc faction leader splits gold)
qstr_{s4}_has_returned_fr|{s4}已 经 从 流 放 中 返 回 ，并 且 正 在 向 {s5}的 {s6}寻 求 避 难 。 
qstr_{s4}_has_been_grante|{s4}已 经 被 {s5}的 {s6}赦 免 并 且 已 从 流 放 中 返 回 。 
qstr_{!}DEBUG_:_failure_i|{!}调 试 ：外 交 策 略 模 组 放 逐 领 主 回 归 失 败 ((s5}，{s7})
qstr_{!}_ERROR:_called_sc|{!} ERROR: called script dplmc-store-troop-is-female-reg with bad argument {reg4}
qstr_Given_the_way_things|鉴 于 我 们 之 间 有 许 多 隔 阂 ，{playername}, 对 于 这 样 的 提 议 我 不 会 接 受 。 
qstr_{playername}_I_am_gr|{playername},我 很 感 激 你 ，但 是 在 人 们 的 眼 中 你 没 有 足 够 的 合 法 性 去 当 一 个 统 治 者 。 和 你 结 婚 有 损 我 作 为 统 治 者 的 正 统 性 。 
qstr_{!}DEBUG___player_re|{!}调 试 ：玩 家 声 望 {reg0}，所 需 声 望 {reg1}
qstr_{playername}_I_know_|{playername}, 我 知 道 如 果 没 有 你 的 鼎 力 相 助 我 不 可 能 登 上 王 位 ，但 是 你 在 卡 拉 迪 亚 籍 籍 无 名 ，和 你 结 婚 会 被 认 为 是 不 合 适 的 ，并 且 这 也 会 给 我 的 统 治 带 来 许 多 问 题 。 
qstr_{!}DEBUG___player_sc|{!}调 试 ：玩 家 分 数 {reg0} ，所 需 分 数 {reg1}
qstr_{playername}_I_am_gra|{playername}, 我 很 感 激 你 协 助 我 重 登 王 位 ，但 是 对 于 我 来 说 你 没 有 足 够 的 威 望 。 这 并 不 合 适 。 
qstr_{!}DEBUG___player_sco|{!}调 试 ：玩 家 分 数 {reg0}，竞 争 者 分 数 {reg1}
qstr_{playername}_I_am_grat|{playername}，我 很 感 激 你 ，但 是 如 果 我 现 在 和 你 结 婚 的 话 将 会 得 罪 像 {s15}这 样 强 大 并 且 认 为 自 己 应 该 和 你 享 有 同 等 或 更 高 荣 誉 的 领 主 。 
qstr_{playername}_I_am_grate|{playername}，我 很 感 激 你 ，但 是 如 果 我 现 在 和 你 结 婚 的 话 将 会 得 罪 像 {s15}这 样 伟 大 的 并 且 认 为 自 己 应 该 和 你 享 有 同 等 或 更 高 荣 誉 的 领 主 。 
qstr_{!}DEBUG___player_rel|{!}调 试 ：玩 家 关 系 {reg0}，对 手 关 系 {reg1}
qstr_{playername}_while_I|{playername}，尽 管 我 很 感 激 你 ，但 是 我 必 须 承 认 我 已 经 倾 心 于 {s15} 。 
qstr_{!}DEBUG___lords_in_|{!}调 试 ：派 系 内 领 主 {reg0}，所 需 领 主 {reg1}
qstr_Our_realm_has_too_fe|我 们 的 王 国 只 有 很 少 的 领 主 。 在 当 前 这 样 危 险 的 局 势 下 ，我 必 须 用 潜 在 的 政 治 联 姻 去 吸 引 新 的 领 主 ，并 且 不 能 向 任 何 求 婚 者 作 出 承 诺 。 
qstr_{!}DEBUG___liege_has|{!}调 试 ：君 主 拥 有 {reg0}统 治 权 ，至 少 需 要 {reg1}
qstr_Because_I_have_insuf|相 比 较 于 {s15}我 没 有 足 够 的 个 人 威 望 ，如 果 我 接 受 这 样 的 决 定 我 会 被 认 为 是 不 成 熟 的 ，从 而 将 王 国 推 向 危 险 的 境 地 。 
qstr_Because_my_personal_|相 比 较 于 {s14}的 其 他 领 主 我 没 有 足 够 的 个 人 威 望 ，如 果 我 接 受 这 样 的 决 定 我 会 被 认 为 是 不 成 熟 的 ，从 而 将 王 国 推 向 危 险 的 境 地 。 
qstr_I_am_grateful_to_you|我 很 感 激 你 ，{playername}, 你 的 提 议 在 政 治 上 是 可 行 的 ，但 是 你 在 {s14}的 领 主 中 有 太 多 的 敌 人 ，如 果 我 接 受 了 ，那 么 就 很 有 可 能 会 爆 发 一 场 起 义 。 
qstr_You_have_engendered_|你 最 近 造 成 了 太 多 争 议 ，{playername} 。 如 果 我 现 在 接 受 的 话 很 可 能 会 在 {s14}的 领 主 中 造 成 一 场 暴 动 。 让 我 们 在 这 些 争 议 平 息 下 来 后 再 来 谈 这 件 事 。 
qstr_If_you_desire_to_lea|如 果 你 渴 望 和 我 一 起 统 治 {s14}，在 我 的 领 主 中 寻 求 支 持 以 成 为 元 帅 ，并 且 向 他 们 展 示 你 作 为 一 个 指 挥 官 的 能 力 。 
qstr_Our_realm_has_lost_t|我 们 的 王 国 损 失 了 太 多 的 领 土 。 我 们 曾 经 拥 有 {s1}然 而 现 在 只 有 {s0}，在 当 前 这 样 危 险 的 局 势 下 ，我 必 须 保 留 一 个 可 能 的 政 治 结 盟 以 作 为 对 其 他 国 家 的 筹 码 。 所 以 我 不 会 对 任 何 求 婚 者 作 出 承 诺 。 如 果 你 能 恢 复 {s14}往 日 的 荣 光 ，你 将 会 作 为 我 的 {丈 夫 /妻 子 }和 我 一 起 统 治 王 国 。 
qstr_{s0}_{reg0?have:has}|{s0}已 经 落 入 敌 国 之 手 ，恢 复 {s14}以 往 的 边 界 ，你 将 会 作 为 我 的 {丈 夫 /妻 子 }和 我 一 起 统 治 王 国 。 
qstr_You_have_only_been_m|你 刚 刚 成 为 元 帅 {reg0}天 ，等 你 保 持 元 帅 的 职 位 2 个 星 期 后 再 来 讨 论 此 事 。 
qstr_If_not_for_you_I_wou|如 果 没 有 你 的 帮 助 我 不 可 能 登 上 王 位 ，{playername} 。 当 我 们 漫 长 的 路 途 才 刚 刚 起 步 ，几 乎 没 有 人 有 勇 气 支 持 我 。 敢 冒 着 生 命 的 危 险 支 持 我 的 事 业 的 就 更 少 了 。 但 是 你 毫 不 犹 豫 的 投 入 了 我 的 事 业 之 中 。 我 们 一 起 经 历 了 许 多 事 情 ，上 帝 保 佑 ，我 们 成 功 了 ，我 很 乐 意 接 受 你 作 为 我 的 {丈 夫 /妻 子 }与 我 一 同 统 治 {s14} 。 
qstr_You_sold_{reg1}_{reg|你 向 {s0}出 售 了 {reg1}件 {reg3?物 品 :物 品 }，获 得 了 {reg0}{reg3?第 纳 尔 :第 纳 尔 } 。 
qstr_You_sold_{reg1}_{reg3|你 向 {s0}出 售 了 {reg1}件 {reg3?物 品 :物 品 }，获 得 了 {reg0}{reg3?第 纳 尔 :第 纳 尔 } 。 
qstr_{!}_ERROR_FOR_AUTOSE|{!}自 动 贩 卖 错 误 ，城 镇 ID{reg0}：城 镇 损 毁 或 商 人 失 踪 
qstr_You_have_bought_{reg|你 花 费 {reg1}{reg3?第 纳 尔 :第 纳 尔 }购 买 了 {reg2}{reg4?种 :种 }食 物 。 
qstr_You_sold_{reg2}_{reg|你 出 售 {reg2}{reg4?种 :种 }腐 烂 的 食 物 ，获 得 了 {reg1}{reg3?第 纳 尔 :第 纳 尔 } 。 
qstr_axe|斧 
qstr_spear|矛 
qstr_bow|弓 
qstr_sword|剑 
qstr_axes|斧 
qstr_spears|矛 
qstr_bows|弓 
qstr_swords|剑 
qstr_swing_my_axe|挥 舞 我 的 斧 头 
qstr_lift_my_spear|竖 起 我 的 长 矛 
qstr_loose_my_arrows|射 出 我 的 利 箭 
qstr_swing_my_sword|挥 舞 我 的 剑 
qstr_sultan|苏 丹 
qstr_khans|可 汗 
qstr_sultans|苏 丹 
qstr_kings|国 王 
qstr_lord|领 主 
qstr_lords|领 主 
qstr_goatherd|牧 羊 人 
qstr_swineherd|养 猪 的 
qstr_stable_{boy/girl}|马 僮 
qstr_shepherd_{boy/girl}|羊 倌 
qstr_kvass|淡 啤 酒 
qstr_kumis|马 奶 酒 
qstr_mead|蜂 蜜 酒 
qstr_wine|葡 萄 酒 
qstr_{!}ERROR___dplmc_pri|{!}ERROR - dplmc print cultural word to sreg called for bad context {reg0}
qstr_{reg6?M:m}y_poppet|我 的 宝 贝 。 
qstr_{!}Initializing_auto|{!}Initializing auto-loot. This message should not appear more than once.
qstr_{!}_Checked_if_facti|{!} Checked if faction {reg1} is prejudiced against {reg2?women:men}: {reg0?true:false}
qstr_{reg0?Y:y}ou|你 
qstr_{reg0?M:m}yself|我 自 己 
qstr_{reg0?O:o}ur_{s1}_{s|我 们 的 {s1}{s0}
qstr_{reg0?M:m}y_{s1}_{s0|我 的 {s1}{s0}
qstr_{reg0?Y:y}our_{s1}_{|你 的 {s1}{s0}
qstr_{s2}:_{reg3}_{reg4}_|{s2}: {reg3}，{reg4}天 
qstr_{s4}:_{reg4}|{s4}：{reg4}
qstr_{s1}_gathering_suppo|{s1}（收 集 补 给 ）
qstr_{s1}__intelligence_|{s1}（情 报 ）
qstr_{s1}__ambassy_|{s1}（大 使 ）
qstr_{s1}__minister|{s1}（大 臣 ）
qstr_{s1}__under_arms_|{s1}（备 战 中 ）
qstr_{s1}__attempting_to_|{s1}(试 图 重 新 加 入 )
qstr_{s1}__separated_afte|{s1}(战 后 分 开 ) 
qstr__knows_of_you.|认 识 你 
qstr__has_no_opinion_abou|对 你 没 有 看 法 。 
qstr_{s57}_and_{s50}|{s57}和 {s50}
qstr_{!}{s57}_{s50}|{!}{s57}，{s50}
qstr_Calradia.|卡 拉 迪 亚 
qstr_sworn_{man/woman}|起 誓 过 的 人 
qstr_ruler|统 治 者 
qstr_free_{man/woman}|自 由 人 
qstr_{s1}_Renown:_{reg40}|{s1}声 望 : {reg40}, 争 议 : {reg41}, 荣 誉 : {reg42}, 统 治 权 : {reg43}, 你 是 一 位 {s45}的 {s44}^{reg45?{reg46?你 的 国 王 , {s46}，{s47}:你 是 {s45}的 统 治 者 }:}^^朋 友 : ^敌 人 : ^^封 地 :^ {reg50?{s50}:没 有 封 地 }
